symbol,weight
AAL,0.026564
PNW,0.026165
ROL,0.026114
ALLE,0.025676
FFIV,0.025285
PNR,0.025033
XRAY,0.024815
AOS,0.024036
UHS,0.023903
NRG,0.023762
HII,0.023754
RHI,0.023631
BBWI,0.023487
WRK,0.022139
BEN,0.022108
BXP,0.021649
AAP,0.021199
IVZ,0.020858
FRT,0.020791
VFC,0.020554
SEE,0.020192
WHR,0.020128
NWSA,0.019538
HAS,0.019185
AIZ,0.018282
GNRC,0.018082
OGN,0.017523
DXC,0.016482
CMA,0.015754
NCLH,0.015714
ALK,0.015096
MHK,0.013778
RL,0.013394
DVA,0.013318
NWL,0.013277
ZION,0.012847
FOX,0.012461
LNC,0.009212
FRC,0.007429
DISH,0.006273
NWS,0.006193
