ConsCode,Ticker,Price,IndexShares,Weight%
C176017,601618,4.03,1058660317,0.009995
C176019,601009,9.06,721401234,0.015311
C176020,601899,12.89,1441466057,0.043527
C176021,600795,3.75,1248493336,0.010968
C176022,603993,5.89,630524846,0.0087
C176023,601888,181.82,136673288,0.058214
C176024,600018,5.49,757139059,0.009738
C176025,600741,16.82,220690679,0.008696
C176026,601939,6.06,671556032,0.009534
C176027,600111,26.79,254314620,0.015961
C176028,600196,34.04,148240030,0.011821
C176029,600893,43.69,186591597,0.019098
C176030,601788,15.68,273468919,0.010045
C176031,600029,8.21,872175061,0.016775
C176032,600547,24.97,253011034,0.0148
C176033,600031,17.4,594530021,0.024234
C176034,600516,6.43,266417926,0.004013
C176035,600115,5.47,972347147,0.01246
C176036,601377,6.51,609397122,0.009294
C176037,601998,5.44,681053546,0.008679
C176039,601992,2.46,583730438,0.003364
C176040,601012,40.47,530469366,0.050292
C176042,600705,4.1,618148441,0.005937
C176043,601198,8.37,226271186,0.004437
C176046,601919,10.82,886158335,0.022462
C176048,600660,34.28,140209043,0.01126
C176049,601229,6.03,994465419,0.014048
C176050,601111,11.25,635569310,0.01675
C176051,600809,252.39,85408006,0.050498
C176055,601238,11.06,226586056,0.005871
C176056,601607,21.26,194413913,0.009683
C176057,600011,8.52,494896946,0.009878
C176058,600085,54.96,96002918,0.01236
C176060,600674,13.36,312240685,0.009772
C176061,600487,17.3,172671426,0.006998
C176062,601018,3.69,440734740,0.00381
C176063,603288,76.65,285916165,0.05134
C176064,600406,27.17,468624159,0.029828
C176065,600415,5.92,384389192,0.005331
C176066,600332,33.56,98412366,0.007737
C176068,601633,27.27,192018663,0.012267
C176070,600089,21.39,271037704,0.013581
C176071,600219,3.4,819598699,0.006528
C176072,600522,17.85,238906476,0.00999
C176073,601555,7.03,350525186,0.005773
C176074,600549,20.13,99292144,0.004682
C176077,600177,6.52,324030208,0.004949
C176078,601881,10.39,164682965,0.004008
C176080,601216,4.39,506281043,0.005207
C176081,600688,3.44,406320256,0.003274
C176083,600150,23.41,313070013,0.017169
C176084,600369,3.97,465157639,0.004326
C176085,600436,291.49,42232205,0.028838
C176086,600704,4.86,363722243,0.004141
C176087,600699,15.01,95765924,0.003367
C176089,600919,7.04,369240841,0.00609
C176090,600570,53.2,133002004,0.016576
C176094,600008,3,513841347,0.003611
C176095,600373,12.72,94854460,0.002826
C176096,600820,5.77,220086727,0.002975
C176097,601699,20.46,209398644,0.010037
C176098,601866,2.49,693733411,0.004047
C176099,601991,2.92,471172206,0.003223
C176100,600498,20.53,83147939,0.003999
C176103,601898,7.93,349835215,0.006499
C176104,601333,2.44,395656590,0.002262
C176106,601098,11.3,125720000,0.003328
C176108,600884,17.04,158478135,0.006326
C176111,600808,2.81,422996083,0.002784
C176114,600027,5.59,453693560,0.005941
C176116,600038,42.89,41263370,0.004146
C176119,601997,5.49,255933865,0.003292
C176120,600056,14.08,104711582,0.003454
C176121,600567,2.46,323132306,0.001862
C176122,600409,6.5,144504461,0.0022
C176123,600170,2.77,476367470,0.003091
C176125,600021,9.89,197172055,0.004568
C176127,601877,27.5,90043934,0.005801
C176128,600584,37.67,124568710,0.010993
C176129,600998,14.57,131170861,0.004477
C176130,601000,3.17,414815003,0.00308
C176132,600079,27.61,114315034,0.007394
C176134,600521,20.79,104422926,0.005086
C176136,601375,3.83,241326379,0.002165
C176138,601168,12.79,166810000,0.004998
C176140,600183,19.63,162031394,0.007451
C176142,600438,38.91,315108373,0.028723
C176144,600885,32.23,33886651,0.002559
C176145,600600,122.1,49649993,0.014202
C176148,600875,18.16,194530079,0.008276
C176149,601880,1.61,1121990744,0.004232
C176151,600233,18.95,200492695,0.0089
C176152,603077,2.95,618187516,0.004272
C176153,601233,14.31,168778365,0.005658
C176156,600643,5.4,113534572,0.001436
C176157,600787,5.97,153322144,0.002144
C176158,600298,40.89,60854142,0.005829
C176160,600348,13.53,168350000,0.005336
C176164,601808,14.91,125079773,0.004369
C176168,600062,17.83,73026640,0.00305
C176172,603369,65.15,84678750,0.012924
C176175,600026,12.74,242668432,0.007242
C176176,600755,8.43,154068793,0.003043
C176177,600926,11.71,415118554,0.011388
C176179,601326,2.85,139500000,0.000931
C176180,600499,13.85,136389395,0.004425
C176181,601689,59.01,64468136,0.008912
C176186,600446,16.08,65875726,0.002482
C176187,600597,10.54,96504860,0.002383
C176188,601666,10.06,162065117,0.003819
C176189,600377,8.41,124011794,0.002443
C176191,603858,20.35,28308332,0.00135
C176193,601016,3.8,456163287,0.004061
C176195,603000,22.56,77398374,0.00409
C176196,600380,13.85,134935869,0.004378
C176198,600582,4.86,234010301,0.002664
C176200,600970,12.2,158594244,0.004533
C176204,600188,34.09,91461109,0.007304
C176207,600754,65.31,63983084,0.009789
C176208,601222,7.71,144211841,0.002605
C176210,603816,43.56,57532406,0.005871
C176212,601139,6.83,159444841,0.002551
C176216,601311,9.4,82120228,0.001808
C176217,601966,21.11,63080494,0.00312
C176219,600395,7.22,134127640,0.002269
C176220,600350,6.32,166586618,0.002466
C176221,600612,61.53,22197674,0.0032
C176222,603444,582.69,4457823,0.006085
C176225,601567,12.9,84519273,0.002554
C176226,600635,3.03,169315417,0.001202
C176228,600566,30.67,29959220,0.002153
C176233,601158,5.4,132000000,0.00167
C176234,600282,3.88,431360581,0.003921
C176237,600299,9.24,73752285,0.001596
C176238,600648,12.65,49076560,0.001454
C176239,601717,14.62,107538163,0.003683
C176241,600012,8.93,62505300,0.001308
C176242,600039,14.17,358511531,0.011901
C176243,600729,26.88,28456993,0.001792
C176244,603883,35.72,36448870,0.00305
C176245,601231,18.41,58354367,0.002517
C176250,603885,19.5,151931243,0.00694
C176255,600580,12.25,92068381,0.002642
C176256,603589,67.1,16500000,0.002594
C176259,600216,12.7,67558960,0.00201
C176261,603868,84.8,11979000,0.00238
C176262,600536,68.13,46199588,0.007374
C176280,603899,48.65,32471096,0.003701
C176282,603355,28.76,18677454,0.001258
C176283,600803,20.13,202529018,0.009551
C176288,603806,56.26,49932947,0.006581
C176289,600548,8.81,54464272,0.001124
C176292,600483,12.25,86631005,0.002486
C176296,603568,18.33,46590869,0.002001
C176298,600845,60.57,63287104,0.00898
C176299,601811,12.19,25736877,0.000735
C176361,2,15.82,680693757,0.025227
C176363,858,189.06,271712560,0.120341
